idpozo,pet_2024,pet_2025,gas_2024,gas_2025,var_pet,var_gas
50777,322.2,261.355,48.19,39.5978,-18.88,-17.83
50780,128.87,0.0,218.51,0.0,-100.0,-100.0
50787,648.84,127.64,188.60999999999999,88.16,-80.33,-53.26
50802,0.0,0.0,0.0,0.0,,
50803,0.0,0.0,0.0,0.0,,
50805,0.0,0.0,0.0,0.0,,
50806,0.0,0.0,0.0,0.0,,
50807,0.0,0.0,0.0,0.0,,
50808,0.0,0.0,0.0,0.0,,
50809,0.0,0.0,0.0,0.0,,
50810,0.0,0.0,0.0,0.0,,
50811,0.0,0.0,0.0,0.0,,
50812,0.0,0.0,0.0,0.0,,
50813,0.0,0.0,0.0,0.0,,
50814,0.0,0.0,0.0,0.0,,
50815,0.0,0.0,0.0,0.0,,
50825,0.0,0.0,0.0,0.0,,
50832,0.0,0.0,0.0,0.0,,
