idpozo,empresa,provincia,tipo_de_recurso,prod_pet,prod_gas,prod_agua,iny_agua,iny_gas,tef,inyeccion_total,eficiencia_pet
164941,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,148688.296,14771.81,93486.292,0.0,0.0,332.153,0.0,
163633,PLUSPETROL CUENCA NEUQUINA S.R.L.,Neuquén,NO CONVENCIONAL,75321.94,24569.26,16089.89,0.0,0.0,297.0,0.0,
165607,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,71158.529,3706.8874,1575.10648,0.0,0.0,332.86597,0.0,
163631,PLUSPETROL CUENCA NEUQUINA S.R.L.,Neuquén,NO CONVENCIONAL,70961.73,22948.08,14431.9,0.0,0.0,212.0,0.0,
165825,TOTAL AUSTRAL S.A.,Neuquén,NO CONVENCIONAL,68018.322663,22862.233302266002,22416.597851,0.0,0.0,244.1152777777777,0.0,
165609,PAN AMERICAN ENERGY SL,Neuquén,NO CONVENCIONAL,67946.576,3561.2769,1369.85029,0.0,0.0,332.63819,0.0,
165824,TOTAL AUSTRAL S.A.,Neuquén,NO CONVENCIONAL,66442.031997,25249.382844349,19366.648908,0.0,0.0,254.4562499999999,0.0,
166149,PETROLERA EL TREBOL S.A.,Rio Negro,NO CONVENCIONAL,65915.07,3167.9737,1609.24935,0.0,0.0,332.19096,0.0,
163632,PLUSPETROL CUENCA NEUQUINA S.R.L.,Neuquén,NO CONVENCIONAL,64509.47,17809.65,17722.72,0.0,0.0,270.0,0.0,
166203,YPF S.A.,Neuquén,NO CONVENCIONAL,63433.08,6615.32,6166.16,0.0,0.0,312.53,0.0,
163628,PLUSPETROL CUENCA NEUQUINA S.R.L.,Neuquén,NO CONVENCIONAL,62704.07,18479.07,16733.34,0.0,0.0,294.0,0.0,
165444,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,61238.544,90539.225,50243.648,0.0,0.0,316.46945,0.0,
166205,YPF S.A.,Neuquén,NO CONVENCIONAL,60183.88,2270.41,5733.96,0.0,0.0,315.81,0.0,
165373,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,59021.405,84005.279,27862.896,0.0,0.0,318.4139,0.0,
165803,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,59000.2,2852.422,17578.453,0.0,0.0,329.602,0.0,
165701,VISTA ENERGY ARGENTINA SAU,Neuquén,NO CONVENCIONAL,58968.278,5468.514,12752.213,0.0,0.0,328.679,0.0,
165472,PLUSPETROL S.A.,Neuquén,NO CONVENCIONAL,56043.622,75294.204,40453.123999999996,0.0,0.0,319.87223,0.0,
166202,YPF S.A.,Neuquén,NO CONVENCIONAL,55656.72,2745.13,4431.8,0.0,0.0,301.59000000000003,0.0,
166201,YPF S.A.,Neuquén,NO CONVENCIONAL,52947.4,2522.77,3017.88,0.0,0.0,318.71,0.0,
163629,PLUSPETROL CUENCA NEUQUINA S.R.L.,Neuquén,NO CONVENCIONAL,52586.2,17033.13,9973.970000000001,0.0,0.0,242.0,0.0,
