tipo_recurso;mes;petroleo_m3;gas_miles_m3
CONVENCIONAL;1;1619020,23303336;1532045,375551387
CONVENCIONAL;2;1486292,588980055;1543419,668260271
CONVENCIONAL;3;1590837,7938513143;1629111,070191307
CONVENCIONAL;4;1537861,5135122368;1567625,633722834
CONVENCIONAL;5;1580839,5526459978;1634447,2200069348
CONVENCIONAL;6;1386736,727902304;1537612,243826605
CONVENCIONAL;7;1441155,462471181;1558071,971895641
CONVENCIONAL;8;1529011,0115320068;1592761,598147796
CONVENCIONAL;9;1509075,3806705978;1541337,032160873
CONVENCIONAL;10;1559757,1393735497;1620021,387575312
CONVENCIONAL;11;1508293,7202774163;1501662,536370487
CONVENCIONAL;12;1542058,45941625;1498006,26321999
NO CONVENCIONAL;1;1730193,6977044;2305711,6796434
NO CONVENCIONAL;2;1651045,8667465;2344104,709678938
NO CONVENCIONAL;3;1802195,2675388;2545116,550194625
NO CONVENCIONAL;4;1759161,179616007;2517001,230066411
NO CONVENCIONAL;5;1834969,466976486;3019848,225792744
NO CONVENCIONAL;6;1809828,59530456;2888554,0272684842
NO CONVENCIONAL;7;1933436,6321223;3150927,6806757
NO CONVENCIONAL;8;2015479,47831721;3150430,443341313
NO CONVENCIONAL;9;1867404,03114886;2857278,943938159
NO CONVENCIONAL;10;2104116,825994062;2505439,703147248
NO CONVENCIONAL;11;2110549,797286259;2311123,830965611
NO CONVENCIONAL;12;2230934,01845298;2358630,111463262
NO DISCRIMINADO;1;382,9564133;10,047352
NO DISCRIMINADO;2;358,9011215;9,534317
NO DISCRIMINADO;3;375,351647;8,082762
NO DISCRIMINADO;4;358,6905815;5,862157
NO DISCRIMINADO;5;349,7202438;8,873971
NO DISCRIMINADO;6;333,8953148;8,699226
NO DISCRIMINADO;7;356,4659225;9,994862
NO DISCRIMINADO;8;391,5416546;16,282557
NO DISCRIMINADO;9;357,3066915;15,441144
NO DISCRIMINADO;10;345,2585337;16,089332
NO DISCRIMINADO;11;320,1670762;14,824669
NO DISCRIMINADO;12;347,3699678;16,653075
SIN RESERVORIO;1;0,0;0,0
SIN RESERVORIO;2;0,0;0,0
SIN RESERVORIO;3;0,0;0,0
SIN RESERVORIO;4;0,0;0,0
SIN RESERVORIO;5;0,0;0,0
SIN RESERVORIO;6;0,0;0,0
SIN RESERVORIO;7;0,0;0,0
SIN RESERVORIO;8;0,0;716,278
SIN RESERVORIO;9;0,0;1702,806
SIN RESERVORIO;10;0,0;1893,917
SIN RESERVORIO;11;0,0;1845,796
SIN RESERVORIO;12;0,0;1813,927
