empresa;petroleo_m3;gas_miles_m3
YPF S.A.;20081608,37;12308562,39
PAN AMERICAN ENERGY SL;6100918,175025;6773466,989817
VISTA ENERGY ARGENTINA SAU;3516340,463;435278,794
PLUSPETROL S.A.;2045329,848;3007003,386
SHELL ARGENTINA S.A.;1759557,89;178344,38
TECPETROL S.A.;1138461,150906;6810832,035253
CGC ENERGIA SAU;1067259,777959;715093,61513
KILWER S.A.;656570,88574;46806,573412
COMPAÑÍAS ASOCIADAS PETROLERAS S.A.;620981,95;31867,41
CAPEX S.A.;569334,11;611304,77
TOTAL AUSTRAL S.A.;533312,410815;11240882,172152737
Petrolera Aconcagua Energia S.A.;503323,7338894808;220044,5180350038
PETROQUIMICA COMODORO RIVADAVIA S.A.;493462,043269;226429,192253
CHEVRON ARGENTINA S.R.L.;456913,02;191604,51726
EXXONMOBIL EXPLORATION ARGENTINA S.R.L.;370248,91;277257,717
PETROLEOS SUDAMERICANOS S.A.;168493,801571;48187,524926697
ENAP SIPETROL ARGENTINA S.A.;154718,33;769203,84
OILSTONE ENERGIA S.A.;126417,599015;285953,671906
COMPAÑÍA GENERAL DE COMBUSTIBLES S.A.;126027,418132;1529899,186499
PETROLERA EL TREBOL S.A.;99854,491997;5924,394324
PAMPA ENERGIA S.A.;79350,20264999999;4616938,729302
PRESIDENT PETROLEUM S.A.;70772,866203881;3739,296656994
PECOM SERVICIOS ENERGIA SAU;63232,044;1664,22417
ROCH S.A.;49483,543639999996;102979,791592
RECURSOS Y ENERGIA FORMOSA S.A.;35120,9774675;5144,1000007
CROWN POINT ENERGIA S.A.;31323,412617;1832,999953
PATAGONIA ENERGY S.A.;26624,3885;11780,3488
HATTRICK ENERGY SAS;21762,048;0,0
COLHUE HUAPI S.A.;20289,58;1304,9
MADALENA ENERGY ARGENTINA SRL ;19987,31719;12076,37149
HIGH LUCK GROUP LTD. - SUCURSAL ARGENTINA;19275,62430477624;90,458
PAMPETROL S.A.P.E.M;14961,404;1583,286269
INTEROIL ARGENTINA S A;13392,65;71671,08
INGENIERIA ALPA S.A.;13371,75;1230,22
QUINTANA E&P ARGENTINA S.R.L.;12839,89;1089,3
PLUSPETROL ENERGY S.A.;10247,9;115400,409
Pilgrim Energy S.A.;10241,2088;6623,2333501
JUJUY HIDROCARBUROS SAU;9881,062;2786,54
E.M.E.S.A;7991,724;610,49625
VENOIL S.A.;6988,0369980000005;8610,19117
FOMICRUZ S.E.;6698,4;549,0
MEDANITO S.A.;6219,339353255;1819,9784071
CAPETROL S.A.;1274,0;0,0
ALIANZA PETROLERA ARGENTINA S.A.;1223,017;12880,00415
CAPETROL ARGENTINA S.A.;1025,0;1947,0
G Y G OIL SERVICE SRL;626,02;485,70000000000005
PATAGONIA RESOURCES S.A. ;554,0;1156,0
PETROFARO S.A.;370,14;7829,32
PETROLSUR ENERGIA S.A. ;191,5;10632,19
INGENIERIA SIMA S.A.;78,64;0,0
PETROLERA DEL COMAHUE S.A.;0,0;0,0
PETROMINERA CHUBUT S.E.;0,0;0,0
PETROLERA SAN MIGUEL S.A.;0,0;0,0
SAN JORGE PETROLEUM S.A.;0,0;0,0
SELVA MARIA OIL S.A.;0,0;0,0
