provincia;petroleo_m3;gas_miles_m3
Chubut;7429914,354293;2568031,8179831
Estado Nacional;194420,6995;5454654,546
Formosa;35120,9774675;5144,1000007
Jujuy;9881,062;2786,54
La Pampa;734664,00837;216077,600261
Mendoza;3270106,644274;553691,989332
Neuquén;24059625,776435465;34762366,86703569
Rio Negro;1175820,813388107;1191088,481037846
Salta;163703,72027882223;1228863,0323659999
Santa Cruz;3858863,736668;3221921,062349
Tierra del Fuego;212410,273368;1513776,210164
